corretora;produto;banco;liquidez;prazo;indexador;rentabilidade;valmin
1;1;BANCO BMG S.A;N;721;1;11300;10000
1;1;PARANA BANCO S.A;N;60;1;10000;10000
1;4;BANCO COOPERATIVO DO BRASIL S.A;N;90;1;8700;10000
1;1;BANCO ABN AMRO;N;90;1;9000;30000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;120;1;10150;10000
1;3;BANCO ABC BRASIL S.A;N;120;1;8750;10000
1;3;BANCO ABC BRASIL S.A;N;180;1;8900;10000
1;3;BANCO PAN S.A;N;180;1;9150;10000
1;1;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A;N;181;1;10000;50000
1;1;BANCO BMG S.A;N;181;1;10650;10000
1;1;BANCO PAULISTA S.A;N;181;1;10200;10000
1;1;BANCO DAYCOVAL S.A;N;181;1;10250;20000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;181;1;10250;10000
1;1;BANCO INDUSVAL & PARTNERS;N;181;1;10400;10000
1;1;PARANA BANCO S.A;N;181;1;10400;10000
1;1;BANCO PINE S.A;N;181;1;10400;10000
1;1;BANCO FATOR S.A;N;181;1;10100;10000
1;1;BANCO ABC BRASIL S.A;N;181;1;10050;50000
1;1;BANCO ABN AMRO;N;181;1;9050;30000
1;1;BANCO ORIGINAL S.A;N;181;1;10500;50000
1;3;BANCO ABC BRASIL S.A;N;360;1;9100;10000
1;3;BANCO PINE S.A;N;360;1;9300;10000
1;1;BANCO PAULISTA S.A;N;361;1;10400;10000
1;1;BANCO DAYCOVAL S.A;N;361;1;10500;20000
1;1;BANCO BMG S.A;N;361;1;10800;30000
1;1;PARANA BANCO S.A;N;361;1;10600;10000
1;1;BANCO PINE S.A;N;361;1;10500;10000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;361;1;10400;10000
1;1;BANCO FATOR S.A;N;361;1;10400;10000
1;1;BANCO ABC BRASIL S.A;N;361;1;10250;50000
1;1;BANCO ABN AMRO;N;361;1;9100;30000
1;1;BANCO INDUSVAL & PARTNERS;N;361;1;10600;10000
1;1;BANCO BONSUCESSO S.A;N;362;1;10600;30000
1;1;BANCO ORIGINAL S.A;N;415;1;10800;50000
1;3;BANCO PAN S.A;N;540;1;9450;10000
1;3;BANCO ABC BRASIL S.A;N;540;1;9200;50000
1;3;BANCO FIBRA S.A;N;556;1;9500;10000
1;3;BANCO ABC BRASIL S.A;N;720;1;9300;10000
1;3;BANCO PAN S.A;N;720;1;9550;10000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;S;721;1;9900;30000
1;1;BANCO INDUSVAL & PARTNERS;N;721;1;11300;10000
1;1;BANCO MODAL S.A;N;721;1;11300;10000
1;1;BANCO INTERMEDIUM S.A;S;721;1;10100;10000
1;1;BANCO PINE S.A;N;721;1;11150;10000
1;1;BANCO LUSO BRASILEIRO S.A;N;721;1;11400;10000
1;1;PARANA BANCO S.A;N;721;1;11200;10000
1;1;BANCO ARBI S.A.;N;721;1;11300;10000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;90;1;10050;10000
1;1;BANCO ABN AMRO;N;721;1;9200;30000
1;1;BANCO CAIXA GERAL BRASIL S.A;S;721;1;9600;10000
1;1;BANCO ABC BRASIL S.A;N;721;1;10350;50000
1;1;BANCO PAULISTA S.A;N;721;1;10800;10000
1;1;BANCO ORIGINAL S.A;N;721;1;11200;50000
1;1;BANCO DAYCOVAL S.A;N;731;1;10550;20000
1;4;BANCO ABN AMRO;N;810;1;9000;30000
1;1;BANCO MODAL S.A;N;900;1;11750;10000
1;1;BANCO PINE S.A;N;1080;1;11200;10000
1;4;BANCO ABC BRASIL S.A;N;1080;1;9400;50000
1;1;BANCO ARBI S.A.;N;1080;1;11600;10000
1;1;BANCO DAYCOVAL S.A;N;1080;1;10600;20000
1;1;BANCO ABC BRASIL S.A;N;1080;1;10400;50000
1;1;PARANA BANCO S.A;N;1080;1;11200;10000
1;1;BANCO ORIGINAL S.A;N;1080;1;11500;50000
1;1;BANCO VOTORANTIM S.A;N;1080;1;10200;30000
1;1;BANCO LUSO BRASILEIRO S.A;N;1080;1;11800;5000
1;1;BANCO INDUSVAL & PARTNERS;N;1080;1;11700;10000
1;1;BANCO MODAL S.A;N;1096;1;11800;10000
1;1;BANCO MAXIMA S.A;N;1440;1;11600;10000
1;1;BANCO MODAL S.A;N;1440;1;11850;10000
1;1;BANCO LUSO BRASILEIRO S.A;N;1440;1;11850;10000
1;1;BANCO INDUSVAL & PARTNERS;N;1800;1;11700;10000
1;1;BANCO MAXIMA S.A;N;1800;1;11700;10000
1;1;BANCO MODAL S.A;N;1800;1;11870;10000
1;1;BANCO BMG S.A;N;1800;1;11700;30000
1;3;BANCO INTERMEDIUM S.A;N;1100;3;560;5000
1;3;BARIGUI COMPANHIA HIPOTECARIA;N;730;3;570;10000
1;3;BANCO INTERMEDIUM S.A;N;1826;3;585;5000
1;1;BANCO BMG S.A;N;730;3;720;5000
1;1;BANCO BMG S.A;N;1826;3;740;5000
1;1;BANCO FIBRA S.A;N;1095;3;745;20000
1;1;BANCO FIBRA S.A;N;1826;3;750;20000
1;1;BANCO BMG S.A;N;721;4;1231;30000
1;1;BANCO FIBRA S.A;N;1080;4;13;50000
1;1;BANCO BMG S.A;N;1800;4;1333;30000
1;1;BANCO FIBRA S.A;N;1800;4;1360;50000
3;1;BANCO CAIXA GERAL BR S.A;N;730;1;10750;10000
3;1;BANCO ORIGINAL S/A;N;1095;3;746;50000
3;1;BANCO INTERMEDIUM S/A;N;365;1;10200;10000
3;1;BANCO BNP PARIBAS BR;S;365;1;9650;60000
3;1;BANCO ORIGINAL S/A;N;730;1;11450;50000
3;1;BANCO ORIGINAL S/A;N;365;1;10800;50000
3;1;BANCO FIBRA SA;N;1461;3;750;20000
3;1;BANCO FIBRA SA;N;1095;4;1295;5000
3;1;BANCO INTERMEDIUM S/A;N;185;1;10100;10000
3;1;BANCO AGIPLAN S.A;N;365;1;10800;5000
3;1;BANCO BMG S.A;N;365;3;690;5000
3;1;BANCO BONSUCESSO S.A;N;365;1;10600;5000
3;1;CAIXA ECONOMICA;S;365;1;9700;1000000
3;1;BANCO ORIGINAL S/A;N;180;1;10400;50000
3;1;BANCO FIBRA SA;N;1461;4;1320;5000
3;1;BANCO BMG S.A;N;365;1;10800;5000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;365;1;10400;5000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;730;1;10600;5000
3;1;BANCO INDUSVAL;N;365;1;10600;5000
3;1;BANCO FIBRA SA;N;1826;3;745;20000
3;1;BANCO ORIGINAL S/A;N;1095;4;1302;50000
3;1;BANCO TOPAZIO S.A;N;1080;1;10300;5000
3;1;BANCO ORIGINAL S/A;N;1095;1;11700;50000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;185;1;10250;5000
3;1;BANCO INDUSVAL;N;730;1;11200;5000
3;1;BANCO FIBRA SA;N;1800;4;1367;10000
3;1;BANCO BMG S.A;N;900;1;11600;5000
3;1;BANCO PAN S/A;S;730;1;10100;5000
3;1;BANCO FIBRA SA;S;730;1;10100;5000
3;1;BANCO DAYCOVAL S/A;N;361;1;10350;20000
3;1;BANCO FIBRA SA;N;365;4;1210;5000
3;1;BANCO TOPAZIO S.A;N;730;1;11200;5000
3;1;BANCO PINE S/A;N;1095;3;716;5000
3;1;BANCO ORIGINAL S/A;N;365;4;1233;50000
3;1;HAITONG;N;365;1;10650;5000
3;1;BANCO PARANA S.A;N;730;1;11000;5000
3;1;BANCO VOTORANTIM;N;730;1;10100;5000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;90;1;10050;5000
3;1;BANCO BMG S.A;N;1461;1;11800;5000
3;1;BANCO FIBRA SA;N;1461;1;11750;5000
3;1;BANCO PARANA S.A;N;545;1;10650;5000
3;1;BANCO PARANA S.A;N;185;1;10300;5000
3;1;BANCO BMG S.A;N;90;1;10200;5000
3;1;BANCO PINE S/A;N;730;3;699;5000
3;1;BANCO CAIXA GERAL BR S.A;N;181;1;10250;10000
3;1;BANCO FIBRA SA;N;730;1;11200;5000
3;1;BANCO BMG S.A;N;1095;1;11650;5000
3;1;OLE BONSUCESSO CONSIGNADO S/A;S;1080;1;9900;5000
3;1;HAITONG;N;730;1;10800;5000
3;1;BANCO BMG S.A;N;1095;3;750;5000
3;1;BANCO MIZUHO DO BRASIL;S;721;1;9600;5000
3;1;BANCO DAYCOVAL S/A;N;182;1;10150;20000
3;1;BANCO FIDIS S/A;N;365;1;10100;5000
3;1;BANCO BMG S.A;N;730;1;11200;5000
3;1;BANCO INTERMEDIUM S/A;S;730;1;10100;5000
3;1;BANCO BMG S.A;N;1260;4;1318;5000
3;1;BANCO FIBRA SA;N;900;4;1265;5000
3;1;BANCO CAIXA GERAL BR S.A;N;365;1;10450;10000
3;1;BANCO FIBRA SA;N;900;1;11540;5000
3;1;BANCO BMG S.A;N;900;4;1283;5000
3;1;BANCO ORIGINAL S/A;N;730;4;1257;50000
3;1;BANCO BONSUCESSO S.A;N;730;1;11100;5000
3;1;BANCO PINE S/A;N;1095;1;11700;5000
3;1;BANCO BMG S.A;N;730;3;695;5000
3;1;BANCO FIBRA SA;N;1095;3;725;20000
3;1;BANCO ORIGINAL S/A;N;730;3;712;50000
3;1;BANCO FIBRA SA;N;730;4;1235;5000
3;1;BANCO BMG S.A;N;185;1;10600;5000
3;1;BANCO FIBRA SA;N;1095;1;11700;5000
3;1;BANCO PARANA S.A;N;365;1;10550;5000
3;1;BANCO ABC BRASIL S.A.;N;365;1;10050;50000
3;1;BANCO DAYCOVAL S/A;N;731;1;10400;20000
3;1;BANCO BMG S.A;N;1260;1;11700;5000
3;4;BANCO ABN AMRO;N;731;1;9200;150000
3;4;BANCO COOPERATIVO DO BRASIL S/A;N;360;1;8700;5000
3;4;BANCO COOPERATIVO DO BRASIL S/A;N;91;1;8700;5000
3;4;BANCO ABN AMRO;N;730;1;9150;30000
3;3;BANCO RIBEIRAO PRETO SA;N;730;3;530;5000
3;3;BANCO PAN S/A;N;365;1;9150;5000
3;3;BANCO FIBRA SA;N;556;1;9400;5000
3;3;BANCO INTERMEDIUM S/A;N;1461;3;539;5000
3;3;BANCO INTERMEDIUM S/A;N;1102;3;534;5000
3;3;BANCO RIBEIRAO PRETO SA;N;730;1;9350;5000
2;1;BANCO ABC BRASIL;N;182;1;10000;100000
2;1;BANCO ABC BRASIL;N;365;1;10100;100000
2;1;BANCO ABC BRASIL;N;730;1;10300;100000
2;1;BANCO AGIPLAN;N;365;1;10900;20000
2;1;BANCO ARBI;N;365;1;10700;10000
2;1;BANCO ARBI;N;730;1;11300;10000
2;1;BANCO ARBI;N;1095;1;11600;10000
2;1;BANCO BMG;N;65;1;10000;25000
2;1;BANCO BMG;N;91;1;10200;25000
2;1;BANCO BMG;N;730;1;11300;25000
2;1;BANCO BONSUCESSO;N;91;1;9700;100000
2;1;BANCO BONSUCESSO;N;365;1;10500;100000
2;1;BANCO BONSUCESSO;N;1095;1;10900;100000
2;1;BANCO BRASIL PLURAL;N;182;1;9750;20000
2;1;BANCO BRASIL PLURAL;N;1095;1;10500;20000
2;1;BANCO CAIXA GERAL;N;182;1;10300;10000
2;1;BANCO CAIXA GERAL;N;365;1;10500;10000
2;1;BANCO DAYCOVAL;N;365;1;10500;20000
2;1;BANCO DAYCOVAL;N;1463;1;10650;20000
2;1;BANCO DAYCOVAL;N;1827;1;10700;20000
2;1;BANCO FATOR;N;182;1;10300;10000
2;1;BANCO FATOR;N;730;1;11000;10000
2;1;BANCO FATOR;N;1827;1;11200;10000
2;1;BANCO FIBRA;N;1463;1;11500;20000
2;1;BANCO FIBRA;N;1827;1;11650;20000
2;1;BANCO HAITONG;N;182;1;10100;50000
2;1;BANCO HAITONG;N;730;1;10700;50000
2;1;BANCO INDUSVAL;N;91;1;9900;10000
2;1;BANCO INDUSVAL;N;182;1;10400;10000
2;1;BANCO INDUSVAL;N;365;1;10700;10000
2;1;BANCO INDUSVAL;N;730;1;11300;10000
2;1;BANCO INDUSVAL;N;1095;1;11700;10000
2;1;BANCO INDUSVAL;N;1463;1;11700;10000
2;1;BANCO INDUSVAL;N;1827;1;11700;10000
2;1;BANCO INTERMEDIUM;N;182;1;10100;20000
2;1;BANCO INTERMEDIUM;N;365;1;10200;20000
2;1;BANCO LUSO BRASILEIRO;N;730;1;11400;30000
2;1;BANCO MAXIMA;N;365;1;10700;5000
2;1;BANCO MAXIMA;N;547;1;10800;5000
2;1;BANCO MAXIMA;N;730;1;11300;5000
2;1;BANCO MAXIMA;N;1095;1;11500;5000
2;1;BANCO MAXIMA;N;1463;1;11700;5000
2;1;BANCO MAXIMA;N;1827;1;11800;5000
2;1;BANCO MODAL;N;365;1;10700;10000
2;1;BANCO MODAL;N;547;1;10900;10000
2;1;BANCO MODAL;N;730;1;11200;10000
2;1;BANCO MODAL;N;1095;1;11750;10000
2;1;BANCO MODAL;N;1463;1;11800;10000
2;1;BANCO MODAL;N;1827;1;11810;10000
2;1;BANCO ORIGINAL;N;365;1;10800;100000
2;1;BANCO ORIGINAL;N;730;1;11400;100000
2;1;BANCO ORIGINAL;N;1095;1;11600;100000
2;1;BANCO PARANA;N;31;1;9800;10000
2;1;BANCO PARANA;N;182;1;10400;10000
2;1;BANCO PARANA;N;365;1;10700;10000
2;1;BANCO PARANA;N;730;1;10900;10000
2;1;BANCO PARANA;N;1095;1;11200;10000
2;1;BANCO PINE;N;182;1;10400;10000
2;1;BANCO PINE;N;365;1;10500;10000
2;1;BANCO PINE;N;730;1;11100;10000
2;1;BANCO PINE;N;1095;1;11200;10000
2;1;BANCO SEMEAR;N;730;1;11200;10000
2;1;AVISTA FINANCEIRA;N;730;1;11400;10000
2;1;AVISTA FINANCEIRA;N;1463;1;11900;10000
2;1;BARIGUI FINANCEIRA;N;730;1;10700;30000
2;1;BARIGUI FINANCEIRA;N;1095;1;11000;30000
2;1;BRICKELL FINANCEIRA;N;91;1;10500;10000
2;1;BRICKELL FINANCEIRA;N;182;1;11000;10000
2;1;BRICKELL FINANCEIRA;N;365;1;11200;10000
2;1;BRICKELL FINANCEIRA;N;730;1;11250;10000
2;1;LECCA FINANCEIRA;N;91;1;10100;10000
2;1;LECCA FINANCEIRA;N;365;1;11000;10000
2;1;LECCA FINANCEIRA;N;730;1;11300;10000
2;1;OMNI FINANCEIRA;N;365;1;11300;10000
2;1;OMNI FINANCEIRA;N;730;1;11500;10000
2;1;OMNI FINANCEIRA;N;1095;1;11600;10000
2;1;OMNI FINANCEIRA;N;1463;1;11600;10000
2;1;OMNI FINANCEIRA;N;1827;1;11600;10000
2;1;SANTANA FINANCEIRA;N;365;1;11400;1000
2;1;SANTANA FINANCEIRA;N;730;1;11500;10000
2;1;SANTANA FINANCEIRA;N;1095;1;11700;10000
2;1;SOROCRED FINANCEIRA;N;182;1;10500;10000
2;1;SOROCRED FINANCEIRA;N;365;1;10800;10000
2;1;SOROCRED FINANCEIRA;N;730;1;11000;10000
2;3;BRICKELL FINANCEIRA;N;792;1;9600;3007
2;3;BRICKELL FINANCEIRA;N;168;1;9200;1000
2;3;BRICKELL FINANCEIRA;N;792;1;9700;10000
2;4;BANCO PINE;N;365;1;9400;5002
2;1;BANCO FIBRA;N;365;4;1230;20000
2;1;BANCO FIBRA;N;547;4;1215;20000
2;1;BANCO FIBRA;N;730;4;1240;20000
2;1;BANCO FIBRA;N;1095;4;1300;20000
2;1;BANCO FIBRA;N;1463;4;1320;20000
2;1;BANCO FIBRA;N;1827;4;1350;20000
2;1;BANCO BMG;N;182;4;1275;20000
2;1;BANCO BMG;N;365;4;1211;20000
2;1;BANCO BMG;N;730;4;1204;20000
2;1;BANCO BMG;N;1463;4;1287;20000
2;1;BANCO BMG;N;1827;4;1315;20000
2;1;BANCO MAXIMA;N;365;4;1200;5000
2;1;BANCO MAXIMA;N;547;4;1176;10000
2;1;BANCO MAXIMA;N;730;4;1218;10000
2;1;BANCO MAXIMA;N;1095;4;1257;5000
2;1;BANCO MAXIMA;N;1463;4;1302;10000
2;1;BANCO MAXIMA;N;1827;4;1328;10000
2;1;OMNI FINANCEIRA;N;365;4;1311;10000
2;1;OMNI FINANCEIRA;N;730;4;1279;10000
2;1;OMNI FINANCEIRA;N;1095;4;1304;10000
2;1;OMNI FINANCEIRA;N;1463;4;1325;10000
2;1;OMNI FINANCEIRA;N;1827;4;1345;10000
2;1;BANCO BMG;N;365;3;695;20000
2;1;BANCO BMG;N;730;3;700;20000
2;1;BANCO BMG;N;1431;3;725;20000
2;1;BANCO BMG;N;1796;3;735;20000
2;1;BANCO FIBRA;N;1095;3;740;20000
2;1;BANCO ORIGINAL;N;365;3;668;100000
2;1;BANCO ORIGINAL;N;730;3;709;100000
2;1;BANCO ORIGINAL;N;1095;3;738;100000
1;5;Tesouro IPCA+ 2019 (NTNB Princ);S;870;3;592;52
1;5;Tesouro IPCA+ 2024 (NTNB Princ);S;2789;3;596;39
1;5;Tesouro IPCA+ 2035 (NTNB Princ);S;6714;3;587;32
1;5;Tesouro IPCA+ com Juros Semestrais 2026 (NTNB);S;3519;3;598;31
1;5;Tesouro IPCA+ com Juros Semestrais 2035 (NTNB);S;6714;3;588;31
1;5;Tesouro IPCA+ com Juros Semestrais 2050 (NTNB);S;12285;3;584;31
1;6;Tesouro Prefixado 2019 (LTN);S;736;4;1107;33
1;6;Tesouro Prefixado 2023 (LTN);S;2197;4;1164;32
1;7;Tesouro Prefixado com Juros Semestrais 2027 (NTNF);S;3658;4;1142;39
1;8;Tesouro Selic 2021 (LFT);S;1526;2;10000;85
3;5;Tesouro IPCA+ 2019 (NTNB Princ);S;870;3;592;52
3;5;Tesouro IPCA+ 2024 (NTNB Princ);S;2789;3;596;39
3;5;Tesouro IPCA+ 2035 (NTNB Princ);S;6714;3;587;32
3;5;Tesouro IPCA+ com Juros Semestrais 2026 (NTNB);S;3519;3;598;31
3;5;Tesouro IPCA+ com Juros Semestrais 2035 (NTNB);S;6714;3;588;31
3;5;Tesouro IPCA+ com Juros Semestrais 2050 (NTNB);S;12285;3;584;31
3;6;Tesouro Prefixado 2019 (LTN);S;736;4;1107;33
3;6;Tesouro Prefixado 2023 (LTN);S;2197;4;1164;32
3;7;Tesouro Prefixado com Juros Semestrais 2027 (NTNF);S;3658;4;1142;39
3;8;Tesouro Selic 2021 (LFT);S;1526;2;10000;85
